pps,Q1.raw,Q2.raw,Q3.raw,Q4.raw,Q5.raw,Q6.raw,Q7.raw,Q8.raw,Q9.raw,Q10.raw,Q11.raw,Q12.raw,Q13.raw,Q14.raw,Q15.raw,Q16.raw,Q17.raw,Q18.raw,Q19.raw,Q20.raw,Q21.raw,Q22.raw,Q23.raw,Q24.raw,Q25.raw,Q26.raw,Q27.raw,Q28.raw,Q29.raw,Q30.raw,Q31.raw,Q32.raw,Q33.raw,Q34.raw,Q35.raw,Q36.raw,Q37.raw,Q38.raw,Q39.raw,Q40.raw,Q1.processed,Q2.processed,Q3.processed,Q4.processed,Q5.processed,Q6.processed,Q7.processed,Q8.processed,Q9.processed,Q10.processed,Q11.processed,Q12.processed,Q13.processed,Q14.processed,Q15.processed,Q16.processed,Q17.processed,Q18.processed,Q19.processed,Q20.processed,Q21.processed,Q22.processed,Q23.processed,Q24.processed,Q25.processed,Q26.processed,Q27.processed,Q28.processed,Q29.processed,Q30.processed,Q31.processed,Q32.processed,Q33.processed,Q34.processed,Q35.processed,Q36.processed,Q37.processed,Q38.processed,Q39.processed,Q40.processed,EQ Cognitive,EQ Social,EQ Emotion,EQ.Total,Social skill,Attention switching,Communication,Imagination,Attention to detail,AQ
pp64,3,2,3,0,1,1,0,1,1,0,2,1,2,2,2,0,2,2,1,0,2,2,2,3,1,2,3,3,2,1,1,0,0,1,2,2,2,2,2,3,2,0,2,2,1,1,2,1,1,2,1,1,1,1,1,2,0,0,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,0,1,1,1,1,1,2,4,6,8,49,4,7,1,3,5,20
pp65,2,0,1,0,0,1,0,1,1,2,3,0,1,2,2,0,2,1,3,0,3,1,1,0,2,3,0,2,3,0,1,3,2,1,3,1,2,2,1,1,1,2,0,2,2,1,2,1,1,0,2,2,0,1,1,2,0,1,0,2,2,0,0,0,0,2,0,1,2,2,1,0,0,0,2,0,1,1,0,0,6,9,2,37,1,3,1,5,2,12
pp66,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,5,2,2,25,2,3,1,3,7,16
pp69,2,2,2,0,1,1,0,2,1,0,2,2,3,3,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,1,0,1,2,1,1,2,0,1,2,1,0,2,2,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,2,1,1,6,5,5,37,2,3,3,4,7,19
pp70,3,2,3,1,0,1,0,1,2,0,2,1,3,2,3,1,1,1,1,0,2,2,2,2,2,3,3,2,3,2,1,1,2,3,1,2,2,2,2,3,2,0,2,1,2,1,2,1,0,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,0,2,2,1,2,0,1,1,0,2,0,1,1,1,1,2,7,5,5,47,,,,,,
pp71,3,0,2,0,0,1,0,0,1,0,2,1,2,2,3,1,0,0,0,0,3,2,1,1,1,2,1,3,2,1,0,0,0,2,2,2,0,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,0,0,1,1,0,2,1,1,2,2,2,1,1,1,0,1,0,1,6,10,6,52,0,3,1,1,10,15
pp72,2,0,2,0,2,2,0,2,2,1,1,2,3,2,2,2,0,2,0,1,3,1,1,3,2,2,3,2,1,1,1,0,2,2,1,2,2,3,3,3,1,2,1,2,0,0,2,0,0,1,0,0,2,1,1,0,2,0,2,1,2,0,0,2,0,1,2,1,0,1,1,2,0,1,0,1,1,2,2,2,3,8,5,39,1,4,3,3,6,17
pp73,3,1,3,1,1,0,0,1,2,0,2,1,2,2,3,0,1,1,1,1,2,2,3,3,2,3,2,2,3,1,2,0,0,2,2,2,2,2,2,3,2,1,2,1,1,2,2,1,0,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,0,2,1,1,2,1,0,2,2,1,1,1,1,1,1,2,7,6,8,51,0,3,0,2,2,7
pp74,3,2,2,1,1,1,0,0,2,0,2,0,2,2,3,0,1,1,1,0,2,2,2,2,1,2,2,2,2,0,0,1,1,2,2,2,1,2,2,2,2,0,1,1,1,1,2,2,0,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,6,6,6,47,2,8,1,2,2,15
pp75,2,0,3,0,0,0,0,2,0,0,2,0,3,2,2,0,2,0,0,0,3,3,0,3,3,2,3,3,3,0,0,0,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2,0,2,2,1,2,2,1,1,2,0,2,2,2,2,2,0,2,0,1,2,2,2,2,2,2,0,1,1,1,1,0,1,2,6,8,7,58,1,6,4,6,6,23
